192.168.150.1 - - [02/Oct/2025:06:00:52 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost/dt/projects/235e43e8-6f5a-47db-81ad-27f7fcf8d0ec" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.008 upstream_response_time=0.007
192.168.150.1 - - [02/Oct/2025:06:00:52 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 401 0 "https://localhost/dt/projects/235e43e8-6f5a-47db-81ad-27f7fcf8d0ec" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.102 upstream_response_time=0.102
192.168.150.1 - - [02/Oct/2025:06:00:52 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost/dt/login?redirect=%2Fprojects%2F235e43e8-6f5a-47db-81ad-27f7fcf8d0ec" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.019 upstream_response_time=0.020
192.168.150.1 - - [02/Oct/2025:06:01:00 +0000] "POST /dt/api/v1/user/login HTTP/1.1" 200 924 "https://localhost/dt/login?redirect=%2Fprojects%2F235e43e8-6f5a-47db-81ad-27f7fcf8d0ec" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.849 upstream_response_time=0.850
192.168.150.1 - - [02/Oct/2025:06:01:00 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost/dt/login?redirect=%2Fprojects%2F235e43e8-6f5a-47db-81ad-27f7fcf8d0ec" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.032 upstream_response_time=0.031
192.168.150.1 - - [02/Oct/2025:06:01:01 +0000] "GET /dt/api/v1/metrics/portfolio/90/days HTTP/1.1" 200 2419 "https://localhost/dt/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.060 upstream_response_time=0.060
192.168.150.1 - - [02/Oct/2025:06:01:03 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost/dt/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.009 upstream_response_time=0.008
192.168.150.1 - - [02/Oct/2025:06:01:03 +0000] "GET /dt/api/v1/configProperty/public/access-management/acl.enabled HTTP/1.1" 200 194 "https://localhost/dt/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.006 upstream_response_time=0.005
192.168.150.1 - - [02/Oct/2025:06:01:03 +0000] "GET /dt/api/v1/metrics/portfolio/90/days HTTP/1.1" 200 2419 "https://localhost/dt/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.022 upstream_response_time=0.021
192.168.150.1 - - [02/Oct/2025:06:01:03 +0000] "GET /dt/api/v1/team/visible HTTP/1.1" 200 288 "https://localhost/dt/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.039 upstream_response_time=0.039
192.168.150.1 - - [02/Oct/2025:06:01:03 +0000] "GET /dt/api/v1/project?excludeInactive=true&onlyRoot=true&searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 4215 "https://localhost/dt/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.123 upstream_response_time=0.123
192.168.150.1 - - [03/Oct/2025:17:33:56 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:57821/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.014 upstream_response_time=0.014
192.168.150.1 - - [03/Oct/2025:17:33:56 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:57821/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.045 upstream_response_time=0.045
192.168.150.1 - - [03/Oct/2025:17:34:06 +0000] "POST /dt/api/v1/user/login HTTP/1.1" 401 19 "https://localhost:57821/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.901 upstream_response_time=0.901
192.168.150.1 - - [03/Oct/2025:17:34:12 +0000] "POST /dt/api/v1/user/login HTTP/1.1" 401 21 "https://localhost:57821/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.858 upstream_response_time=0.858
192.168.150.1 - - [03/Oct/2025:17:34:24 +0000] "POST /dt/api/v1/user/forceChangePassword HTTP/1.1" 200 0 "https://localhost:57821/dt/change-password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=2.683 upstream_response_time=2.683
192.168.150.1 - - [03/Oct/2025:17:34:24 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:57821/dt/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.007 upstream_response_time=0.006
192.168.150.1 - - [03/Oct/2025:17:34:32 +0000] "POST /dt/api/v1/user/login HTTP/1.1" 200 924 "https://localhost:57821/dt/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.933 upstream_response_time=0.933
192.168.150.1 - - [03/Oct/2025:17:34:32 +0000] "GET /dt/api/v1/user/self HTTP/1.1" 200 1843 "https://localhost:57821/dt/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.075 upstream_response_time=0.075
192.168.150.1 - - [03/Oct/2025:17:34:33 +0000] "GET /dt/api/v1/metrics/portfolio/90/days HTTP/1.1" 200 807 "https://localhost:57821/dt/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.080 upstream_response_time=0.080
